69	-76
3	-93
37	26
12	76
-7	66
41	-43
-15	-58
15	-16
-32	50
-95	-16
85	23
-88	49
-36	27
7	-45
72	-54
-55	41
-30	48
49	-94
-27	-40
83	67
-75	23
-76	11
66	39
95	-67
-11	100
18	-27
23	30
-78	87
-43	30
-58	-71
76	-13
71	-55
-65	19
-49	9
79	-66
-25	-96
58	0
15	23
-61	9
56	28
9	-26
-99	-69
-97	-76
-83	-39
54	-40
-10	29
48	-40
74	83
79	-75
-9	58
-41	67
62	-83
-33	-24
40	6
86	-4
-66	-6
70	-65
25	74
-40	43
-66	-87
-97	24
42	51
84	16
33	63
41	-76
20	-100
92	-19
-83	-42
58	57
64	44
-47	98
-63	-78
-67	63
96	-7
6	-70
7	9
55	-52
-41	39
64	93
1	5
-83	-80
5	-92
2	22
-33	-40
-21	-70
-97	32
-72	-59
55	-39
-97	51
55	10
81	-39
-82	35
10	-22
-27	-26
-29	75
79	-12
96	-17
-3	-2
-95	64
58	-15
95	62
-84	-78
-98	72
-16	-94
22	-61
16	3
0	35
-63	-91
-87	11
-17	-16
-14	-38
73	-19
45	-31
79	51
-68	36
-65	-73
-2	-48
-51	0
-77	34
6	45
73	-78
-53	-28
58	-15
-18	71
97	66
-45	-18
-72	-73
64	74
-3	42
24	29
-22	59
57	76
-89	-95
-24	-66
39	83
80	12
-96	-73
85	62
13	-34
32	10
-68	88
93	-39
-86	56
-66	11
-2	58
-60	77
17	97
53	28
-98	-72
63	42
-90	43
-47	-85
70	-63
77	-17
4	9
93	37
-3	85
98	11
40	-69
-78	-62
89	-38
-86	6
-41	67
-66	-39
96	98
-98	-95
40	-45
-79	10
-8	99
93	96
8	85
32	-96
70	29
15	9
61	37
47	50
100	61
-45	-42
28	-10
19	23
-13	22
29	-73
77	50
37	-31
48	30
-35	-45
15	98
-41	-16
27	75
94	-13
11	41
-64	10
2	-8
69	-71
82	-13
52	-31
-91	-19
-4	87
-70	-67
-45	78
69	-76
