198	9801
196	9604
194	9409
192	9216
190	9025
188	8836
186	8649
184	8464
182	8281
180	8100
178	7921
176	7744
174	7569
172	7396
170	7225
168	7056
166	6889
164	6724
162	6561
160	6400
158	6241
156	6084
154	5929
152	5776
150	5625
148	5476
146	5329
144	5184
142	5041
140	4900
138	4761
136	4624
134	4489
132	4356
130	4225
128	4096
126	3969
124	3844
122	3721
120	3600
118	3481
116	3364
114	3249
112	3136
110	3025
108	2916
106	2809
104	2704
102	2601
100	2500
98	2401
96	2304
94	2209
92	2116
90	2025
88	1936
86	1849
84	1764
82	1681
80	1600
78	1521
76	1444
74	1369
72	1296
70	1225
68	1156
66	1089
64	1024
62	961
60	900
58	841
56	784
54	729
52	676
50	625
48	576
46	529
44	484
42	441
40	400
38	361
36	324
34	289
32	256
30	225
28	196
26	169
24	144
22	121
20	100
18	81
16	64
14	49
12	36
10	25
8	16
6	9
4	4
2	1
0	0
198	9801
